ID_NQN,ID_BLOQUE
A155,197
A152,187
A148,184
A147,183
A120,151
A120,152
A116,146
A089,111
A082,107
A072,095
A070,093
A070,094
A020,026
A012,018
A150,186
A029,040
A134,166
A108,132
A109,134
A069,092
A068,089
A009,015
A068,090
A014,027
A130,160
A016,193
A060,082
A015,191
A060,083
A022,030
A043,061
A183,209
A002,002
A024,032
A080,105
A011,017
A124,155
A182,127
A166,213
A128,158
A018,217
A153,159
A123,154
A063,085
A262,161
A005,008
A115,143
A102,128
A012,019
A143,180
A003,004
A164,211
A136,169
A139,172
A137,170
A120,153
A012,020
A012,021
A012,022
A012,023
A167,067
A146,182
A257,133
A049,066
A068,091
A099,124
A014,028
A173,218
A092,114
A091,112
A078,103
A055,077
A171,215
A004,177
A088,110
A085,108
A027,189
A001,001
A174,219
A240,130
A076,101
A154,195
A013,011
A012,024
A039,054
A138,171
A172,216
A188,167
A185,043
A175,220
A186,088
A187,141
A190,057
A052,070
A052,071
A052,072
A189,196
A194,179
A192,139
A196,099
A075,098
A258,100
A112,137
A198,037
A199,036
A073,096
A200,033
A204,086
A065,087
A202,202
A201,012
A203,192
A205,142
A235,131
A028,039
A125,156
A206,188
A207,076
A168,214
A184,042
A021,029
A236,145
A110,005
A032,034
A237,035
A238,205
A159,204
A046,062
A140,173
A140,174
A160,206
A260,164
A241,165
A261,162
A242,163
A223,080
A224,081
A225,117
A227,116
A228,006
A229,119
A181,120
A230,118
A211,201
A213,199
A214,053
A215,052
A216,059
A217,060
A218,058
A255,121
A219,136
A220,207
A126,157
A007,010
A077,102
A221,208
A222,063
A092,115
A244,045
A102,129
A246,013
A247,014
A234,051
A228,007
A233,190
A239,176
A156,198
A141,175
A193,178
A250,079
A251,079
A252,079
A098,123
A244,046
A135,168
A116,147
A208,075
A180,106
A118,149
A035,044
A119,150
A006,009
A061,084
A096,122
A197,038
A191,003
A179,074
A087,109
A253,031
A254,221
A243,047
A010,016
A256,222
A101,125
A259,223
A117,148
A019,025
A051,069
A050,068
A053,073
A057,078
A210,200
A030,041
A074,097
A079,104
A047,064
A091,113
A149,185
A048,065
A040,055
A165,212
A158,203
A017,194
A163,210
A263,138
A264,224
A144,181
A034,144
A265,225
A037,050
A266,226
A041,056
A267,227
A111,135
A268,228
A114,140
