INDEX,AREA_NAME,OBJECTID,SURFACE_AREA,PERIMETER,OPERATOR_INDEX3,CONTRACT_INDEX2
0,AGUA DEL CAJON ,345.00000000,355.991309680000000,85.138225330000000,2,3
1,AGUADA BAGUALES ,252.00000000,177.921539180000000,58.796958570000000,8,1
2,AGUADA CANEPA ,237.00000000,112.434598210000000,101.194286220000000,15,3
3,AGUADA CHIVATO-AGUADA BOCAREY ,287.00000000,109.970172040000000,50.691631990000000,12,1
4,AGUADA DE CASTRO ,342.00000000,163.551454850000000,81.387051920000000,15,3
5,AGUADA DE CASTRO OESTE Bloque I y II BLOQUE I,235.00000000,120.172816360000000,142.963186480000000,17,7
6,AGUADA DE CASTRO OESTE Bloque I y II BLOQUE II,235.00000000,81.960976530000000,142.963186480000000,17,7
7,AGUADA DE LA ARENA ,280.00000000,109.418447590000000,51.176260640000000,27,1
8,AGUADA DEL CHA?AR ,242.00000000,56.125719580000000,101.194286220000000,27,3
9,AGUADA DEL PUESTERO ,223.00000000,1436.853705580000000,325.509294710000000,7,10
10,AGUADA FEDERAL ,260.00000000,97.382642410000000,101.194286220000000,26,3
11,AGUADA PAVON ,202.00000000,17.173591900000000,117.651275940000000,7,10
12,AGUADA PICHANA ESTE ,221.00000000,760.182465290000000,162.559817700000000,24,3
13,AGUADA PICHANA OESTE ,221.00000000,606.256771550000000,162.559817700000000,15,3
14,AGUADA VILLANUEVA ,214.00000000,281.129764590000000,96.406003550000000,19,1
15,AGUILA MORA ,320.00000000,93.920920560000000,73.514598360000000,25,3
16,AGUILA MORA NORESTE ,320.00000000,73.994804580000000,73.514598360000000,5,7
17,AL NORTE DE LA DORSAL ,259.00000000,220.896342970000000,80.924143680000000,27,1
18,AL SUR DE LA DORSAL BLOQUE I,198.00000000,336.231003930000000,130.207514420000000,13,1
19,AL SUR DE LA DORSAL BLOQUE II,190.00000000,126.022105870000000,62.952313190000000,13,1
20,AL SUR DE LA DORSAL BLOQUE III,301.00000000,93.033206680000000,46.001756100000000,13,1
21,AL SUR DE LA DORSAL BLOQUE IV,285.00000000,89.494740560000000,47.193005850000000,13,1
22,AL SUR DE LA DORSAL BLOQUE V,299.00000000,11.999000000000000,13.999500000000000,13,1
