DEPTH_m,LATITUDE,LONGITUDE,FM_ID
2805,-38.14176014,-68.28363303,22
2607,-37.87344702,-68.44036744,22
2585,-37.95364471,-68.44760234,23
2451,-37.88423618,-68.43573887,19
2648,-37.96340915,-68.43183347,22
2225,-37.89789323,-68.44689036,23
2133,-37.88346001,-68.4430198,19
2128,-37.87934942,-68.43122952,19
603,-38.00731374,-68.36709395,8
2663,-38.04347746,-68.30966401,19
1650,-38.80757577,-69.07497345,7
1659,-38.80874414,-69.07032629,7
1614,-38.87972963,-69.43715245,7
1540,-38.88417723,-69.44065913,13
1503,-38.88600846,-69.44243413,16
1580,-38.87870373,-69.43382243,7
1510,-38.88637195,-69.43283068,13
2855,-38.86733288,-69.28273441,16
1600,-38.86847638,-69.20979712,13
1592,-38.87076851,-69.20564216,13
268,-38.86455161,-69.2079698,7
1251,-38.92621743,-69.42281858,7
1372,-38.89791029,-69.39901893,16
1176,-38.90199418,-69.34796798,7
1129,-38.89310541,-69.34760439,7
1171,-38.89426657,-69.34584118,16
1575,-38.91635763,-69.39549557,13
1216,-38.90664386,-69.40288067,16
1319,-38.90911227,-69.39713187,7
1244,-38.90253394,-69.37382036,16
2145,-38.90281892,-69.36281089,13
1573,-38.87100028,-69.2021529,16
1575,-38.87302942,-69.2027098,13
721,-39.0181537,-69.49651809,7
1235,-39.08196309,-68.80447486,10
1216,-39.07594298,-68.8166868,10
1193,-39.08248166,-68.78914569,10
1267,-39.07864933,-68.77206768,10
1242,-39.07809374,-68.77551469,13
1269,-39.08304308,-68.77319788,10
1300,-39.0558996,-68.7855473,16
1999,-39.11736686,-68.66725726,7
1750,-38.84945088,-69.10629846,7
1100,-38.83633448,-69.00339013,13
1352,-38.81829777,-69.05327036,13
1460,-38.81314821,-69.06402794,13
1371,-38.81353155,-69.06115171,13
1418,-38.81103941,-69.06197143,13
942,-39.11762409,-69.10800808,13
1630,-39.15798747,-69.09994933,13
1150,-38.91179055,-69.26771567,13
980,-38.91401411,-69.26076822,7
775,-38.91506572,-69.25880863,7
797,-38.91530332,-69.25595783,7
740,-38.91625186,-69.26191397,7
725,-38.91639138,-69.26482853,7
1150,-38.91743255,-69.26737248,16
975,-38.9164919,-69.27402295,7
756,-38.8970465,-69.24899357,16
762,-38.8982701,-69.25151422,16
770,-38.90018455,-69.25448013,16
777,-38.90007334,-69.25118273,16
800,-38.89932989,-69.2497588,7
950,-38.89846157,-69.24711122,16
1105,-38.90063852,-69.24655955,16
867,-38.90245696,-69.24967507,13
765,-38.912548,-69.23028844,16
764,-38.91298001,-69.23449987,16
999999,-38.90097718,-68.87295415,7
796.5,-38.8959716,-68.87137153,7
564,-38.88570684,-68.9049926,7
319,-38.89821613,-68.9242971,7
255,-38.88822407,-68.95443266,7
461,-38.88935492,-68.96231488,7
264,-38.89377186,-68.94177121,7
254,-38.88535778,-68.97211941,7
320,-38.88963162,-68.98952964,7
1288,-38.98034023,-69.67098633,22
1273,-38.98312433,-69.66803857,13
1257,-38.98090852,-69.67554784,13
1272,-38.98649392,-69.66970567,13
1260,-38.98592628,-69.66516424,13
1335,-38.98461748,-69.67786725,13
1285,-38.98819597,-69.68338288,13
1314,-38.99445758,-69.70781622,13
1384,-38.99414818,-69.71508543,13
1378,-38.98705609,-69.71035162,7
1359,-38.98268006,-69.71466129,13
1286,-38.98552775,-69.71201911,13
1305,-38.98080747,-69.7174366,13
3325,-38.99135363,-69.73253891,13
1277,-38.97983304,-69.69214475,13
1489,-38.98271199,-69.76290411,13
1410,-39.00002128,-69.70032081,7
1384,-38.99602512,-69.69560294,7
1277,-38.99168862,-69.68521827,13
1302,-38.99002374,-69.69700604,13
1284,-38.9898507,-69.67135143,13
1377,-38.98345947,-69.69125508,7
1302,-38.98038159,-69.71023861,13
1348,-38.98364919,-69.73324272,13
1320,-38.98706791,-69.72021698,13
1857,-39.28955621,-69.72122345,18
1326,-39.24188011,-69.61887134,7
1283,-39.24368466,-69.61405448,18
1304,-39.24182016,-69.60943989,13
1349,-39.24508846,-69.62256728,7
1295,-39.24382613,-69.60479771,18
1303,-39.24387179,-69.60061086,18
1330,-39.24073354,-69.59838762,18
1301,-39.24071025,-69.59375264,18
1302,-39.24387983,-69.59599609,18
1324,-39.24446735,-69.59140634,18
1337,-39.24701112,-69.59346316,7
1370,-39.24380215,-69.58660455,18
1353,-39.23296108,-69.60509343,13
1357,-39.2379609,-69.60120264,18
1302,-39.2373908,-69.59143077,18
1090,-39.16863157,-68.8368787,13
1229,-39.07785389,-68.89290538,7
1220,-39.08015213,-68.89019175,13
1210,-39.07962268,-68.88618463,7
1221,-39.08197046,-68.88358516,13
1218,-39.08254955,-68.88755414,13
1217,-39.08323812,-68.89209561,13
1228,-39.0842856,-68.89900339,13
1228,-39.08628683,-68.89669735,13
1231,-39.08919038,-68.89430075,13
1237,-39.09016924,-68.90230364,7
1239,-39.09429415,-68.89288791,13
1228,-39.0939256,-68.88877051,13
1219,-39.08497859,-68.88484686,13
1220,-39.08785507,-68.88611068,13
1219,-39.09094046,-68.88744574,13
1218,-39.08810689,-68.77891224,10
1198,-39.08757305,-68.77554947,10
1190,-39.08297171,-68.77672413,10
1193,-39.08555064,-68.77783744,10
1196,-39.08606191,-68.78124853,10
1196,-39.0840544,-68.78350724,10
1232,-39.07728041,-68.77911036,13
1220,-39.08100377,-68.78397092,13
1230,-39.08031688,-68.79156154,10
1300,-39.07585979,-68.79775142,18
1300,-39.07600476,-68.79447412,13
1245,-39.08011965,-68.79506153,13
1283,-39.07869349,-68.798159,10
1275,-39.07448803,-68.80634851,10
1245,-39.06782536,-68.80963356,10
1236,-39.06830557,-68.81305378,10
1221,-39.07241972,-68.80858697,10
1221,-39.06941334,-68.80399435,10
1234,-39.06479643,-68.80505092,10
1228,-39.06685712,-68.80280295,10
1238,-39.06734508,-68.80623272,10
1240,-39.06527673,-68.80844196,10
1236,-39.06576452,-68.81187169,10
1235,-39.06020211,-68.80610728,7
1239,-39.0627432,-68.8072794,10
1245,-39.06320838,-68.81068007,10
1350,-39.07111452,-68.79861554,10
1603,-38.86270205,-69.28257059,7
1660,-38.85334168,-69.28112109,7
1891,-38.84641895,-69.27205945,7
846,-38.94257732,-69.27469562,7
1082,-38.94060677,-69.26662697,7
428,-38.94557139,-69.23582103,7
1575,-38.92880035,-69.32645072,16
976,-38.92679921,-69.31733645,7
1235,-38.92687292,-69.30488535,16
768,-38.91647284,-69.29910883,16
754,-38.91569329,-69.29490386,16
1200,-38.92439978,-69.29745604,13
752,-38.91800899,-69.3005937,7
752,-38.91817688,-69.29833787,16
752,-38.92098604,-69.30120285,7
1120,-38.9223398,-69.30268708,7
1060,-38.9222195,-69.28611168,7
752,-38.9184463,-69.29597869,16
771,-38.91719364,-69.29454695,16
1690,-38.85106084,-69.2552654,16
1658,-38.85040583,-69.24948534,16
1750,-38.84869304,-69.2467516,16
1617,-38.855875,-69.22192439,16
1597,-38.85647427,-69.22153406,16
1784,-38.8508579,-69.23588705,16
1599,-38.8542516,-69.22734737,16
1642,-38.85859465,-69.21954897,16
1681,-38.85876624,-69.21601179,13
1575,-38.86358592,-69.21785791,16
1690,-38.84700015,-69.24005991,7
1702,-38.8582927,-69.22759847,16
1663,-38.86105589,-69.20700885,16
377,-38.83533492,-69.13488558,7
1844,-38.8376805,-69.13610895,13
1766,-38.84403406,-69.15072365,13
1782,-38.84437792,-69.15080466,13
1758,-38.83995715,-69.14818854,7
1680,-38.84285709,-69.14674069,13
1730,-38.84210466,-69.15467926,13
1691,-38.8457658,-69.1451178,13
1685,-38.84899436,-69.13950733,13
1700,-38.85149815,-69.1360852,13
1686,-38.84917213,-69.13360081,13
1710,-38.85306729,-69.12953208,13
1710,-38.85240407,-69.13291347,13
1770,-38.85334277,-69.11850389,13
1746,-38.85336125,-69.12189592,7
1730,-38.84278768,-69.13481891,13
1877,-38.83892346,-69.12986358,13
1722,-38.84461374,-69.15705264,13
1850,-38.83593675,-69.16689427,13
1910,-38.83919178,-69.17483247,13
1700,-38.84704633,-69.09493059,13
1750,-38.84777627,-69.09662578,13
1680,-38.84706561,-69.09067477,13
1700,-38.84599509,-69.09068696,13
1739,-38.85829125,-69.08601273,7
1295,-38.85688241,-69.07451226,13
1370,-38.85894098,-69.07200551,13
1410,-38.86084801,-69.07221652,13
1350,-38.86152776,-69.07439514,13
1400,-38.85941489,-69.07653597,13
1360,-38.86374712,-69.07612244,13
1365,-38.86415863,-69.07164487,7
1700,-38.86267336,-69.07232291,13
1500,-38.86161294,-69.06878485,13
1265,-38.85912125,-69.06665685,13
1325,-38.85698129,-69.06876297,13
1257,-38.86378157,-69.06411729,13
1167,-38.86409677,-69.06059789,13
1250,-38.86157755,-69.05874886,13
1250,-38.86468723,-69.05075367,13
1398,-38.85515032,-69.07169936,13
1320,-38.85239425,-69.05446693,13
1350,-38.85374122,-69.05791744,13
1330,-38.85627448,-69.05898225,13
1300,-38.85447927,-69.0527786,13
1750,-38.85039947,-69.03404822,13
1440,-38.85068566,-69.03366509,13
1400,-38.85055041,-69.03007634,13
1333,-38.85146422,-69.02544272,13
1340,-38.84717037,-69.03591062,7
1280,-38.84947469,-69.02821188,13
1400,-38.84827809,-69.01692306,13
1304,-38.85526617,-69.01880629,13
1100,-38.86444632,-69.02621401,13
940,-38.86665606,-69.00338836,7
1600,-38.86660525,-69.0742723,13
1700,-38.82687703,-69.08154534,13
1816,-38.83241748,-69.08702041,7
1930,-38.8260704,-69.10251192,7
1900,-38.81944788,-69.1046965,16
1683,-38.8356388,-69.07712599,13
1720,-38.83641427,-69.07864214,13
1750,-38.8371481,-69.08125558,13
1550,-38.82645195,-69.06313185,13
1431,-38.82490119,-69.05646789,13
1399,-38.82563023,-69.05234964,7
1355,-38.82065409,-69.05023063,7
1384,-38.82257065,-69.05374165,7
1400,-38.82381475,-69.04685133,13
1103,-38.82009892,-69.02063145,7
1264,-38.81824521,-69.00471817,13
1200,-38.81574828,-69.02276143,7
1054,-38.82665701,-69.01000757,7
980,-38.83803961,-69.01629267,13
1130,-38.83629716,-69.0152023,13
1100,-38.83945696,-69.0099773,13
1249,-38.83674639,-69.02682347,16
1409,-38.84812211,-69.04986518,7
1447,-38.82343155,-69.06430637,13
956,-39.39966623,-69.2290267,24
1468,-39.34403022,-69.43068563,15
1432,-39.3485062,-69.40504796,15
1427,-39.34700004,-69.39601999,15
1006,-39.26461357,-69.09681192,7
1042,-39.26625424,-69.1046504,7
1100,-39.27351367,-69.09880123,7
1052,-39.27142631,-69.09507582,13
1050,-39.26863087,-69.09375409,13
1050,-39.26915407,-69.09726342,13
1843,-38.91486355,-68.79864542,7
1702,-38.92036159,-68.74504746,7
1793,-38.92213086,-68.74071288,7
1706,-38.92027576,-68.73696511,13
1729,-38.92573407,-68.73680589,7
1553,-38.92307279,-68.74296921,13
1752,-38.9258423,-68.7489565,7
1676,-38.92867948,-68.75497878,16
1712,-38.92860302,-68.75092855,7
1684,-38.93134144,-68.74883281,7
1698,-38.93137724,-68.75288333,13
1710,-38.9352051,-68.74593315,7
1685,-38.93411374,-68.76288785,13
1672,-38.93422534,-68.75772399,13
1666,-38.93685255,-68.76087933,13
1680,-38.93683362,-68.76493035,16
1691,-38.9368764,-68.75277732,16
2802,-38.93577903,-68.77411356,23
1649,-38.93711582,-68.77727361,13
1674,-38.93948721,-68.77472772,13
1652,-38.93991659,-68.77914263,7
1676,-38.93986034,-68.77109269,13
165,-38.93981305,-68.76777196,13
1687,-38.93667797,-68.76858194,13
1665,-38.94255859,-68.76910184,13
1647,-38.93995137,-68.78321105,13
1720,-38.94274608,-68.78925341,13
1647,-38.94840816,-68.78911492,13
1673,-38.93169509,-68.77722965,7
1684,-38.93160819,-68.76914744,13
1670,-38.93435328,-68.77114405,13
1668,-38.93447152,-68.78335904,7
1666,-38.92885117,-68.76713583,16
1668,-38.9315407,-68.76506085,13
1695,-38.93149466,-68.75992589,13
1673,-38.92879514,-68.76288225,13
1680,-38.94645643,-68.76618034,13
1672.5,-38.94008188,-68.79532932,7
1681,-38.94832747,-68.7972184,7
1621,-38.95095149,-68.79140281,13
1655,-38.9454309,-68.78717626,13
1687,-38.94272537,-68.78534127,13
1666,-38.94538872,-68.77909087,7
1664,-38.94547892,-68.79121019,13
740,-38.89108898,-69.00476612,7
1222,-38.91019722,-68.9609044,7
490,-38.99767884,-69.29800516,7
1359,-39.0192949,-69.22273219,7
963,-39.18422937,-68.99161163,18
992,-39.18651219,-68.98878438,13
984,-39.18344032,-68.98766479,13
1002,-39.17829266,-68.98438572,13
983,-39.18055465,-68.9821985,18
974,-39.1826719,-68.98369138,13
953,-39.18400009,-68.98278434,13
998,-39.18804728,-68.98235663,7
950,-39.18476769,-68.98057063,13
935,-39.18111401,-68.97638483,18
976,-39.17976538,-68.97873198,13
844,-39.18657299,-68.97835656,18
910,-39.18640608,-68.97408948,7
980,-39.17951785,-68.97491078,13
958,-39.18034508,-68.97193166,18
950,-39.18104111,-68.96452344,7
980,-39.18136439,-68.96088105,13
956,-39.18335119,-68.96030305,13
950,-39.18414058,-68.96238276,13
980,-39.19004459,-68.96498212,13
950,-39.18517774,-68.96059538,16
930,-39.18021581,-68.9564914,13
980,-39.18392692,-68.94672841,13
950,-39.18241169,-68.94648954,13
1000,-39.18509035,-68.99507452,7
1550,-39.1230605,-69.07683884,13
745,-38.91986099,-69.29743709,16
742,-38.91770567,-69.29237035,16
742,-38.9190676,-69.29063811,16
765,-38.91759371,-69.28850526,16
1168,-38.92118121,-69.31176061,16
1114,-38.92446781,-69.31024455,16
1081,-38.92201545,-69.31798955,7
1060,-38.9225551,-69.31324513,16
791,-38.89573487,-69.25315992,7
