LONGITUDE,LATITUDE,DEPTH_m
-68.28363303,-38.14176014,2805
-68.44036744,-37.87344702,2607
-68.43183347,-37.96340915,2648
-69.67098633,-38.98034023,1288
-68.4438754,-38.82612886,2723
-68.42221852,-38.83022686,2706
-68.41700996,-38.83143116,2700
-68.41675723,-38.83563299,2665
-68.4103554,-38.83528584,2646
-68.41018905,-38.84055168,2649
-68.40679034,-38.83843933,2600
-68.40369762,-38.83502138,2686
-68.40109766,-38.8373531,2682
-68.4013515,-38.84225587,2601
-68.39555054,-38.84232211,2628
-68.41580331,-38.83925361,2627
-68.41888003,-38.84171008,2650
-68.42556955,-38.83811031,2662
-68.40729218,-38.84744998,2630
-68.40408834,-38.84491987,2600
-68.39809349,-38.84509186,2535
-68.41123019,-38.85821047,4147
-68.38927399,-38.82442507,2794
-68.33842151,-38.91829331,1886
-68.34475499,-38.9186176,1895
-68.35409895,-38.91911364,2021
-68.39373765,-38.92247834,1877
-68.37362742,-38.92150645,1900
-68.39282995,-38.91228472,1920
-68.40695924,-38.91810664,1959
-68.40681352,-38.91513137,2085
-68.41337036,-38.91594143,1930
-68.4363468,-38.91006114,2001
-68.43702497,-38.91412666,1976
-68.43716735,-38.90689077,1955
-68.44629772,-38.90551374,1968
-68.46511118,-38.90846501,2251
-68.47367959,-38.91773837,2190
-68.48072951,-38.92121064,2080
-68.46084943,-38.91599277,2016
-68.33188286,-38.92012009,1900
-68.33074904,-38.92912938,1881
-68.3152103,-38.9300526,1950
-68.44406442,-38.90956442,2000
-68.32070014,-38.8966938,2342
-68.8836763,-38.98364238,1156
-68.87945526,-38.99784768,1256
-68.88592026,-39.00412809,1500
-68.86351793,-39.01258758,1200
-68.87503216,-39.01447342,1259
-68.86333852,-39.01671229,1200
-68.85582979,-39.01271211,1200
-68.86927858,-39.01932782,1200
-68.85699163,-39.01764115,1200
-68.95102921,-39.00273497,1051
-68.91824918,-39.00028257,1104
-68.91827144,-39.00057348,1052
-68.91150595,-38.99959891,1041
-68.90470134,-38.99861413,1060
-68.89278251,-38.98714664,1105
-68.88949134,-38.98905762,1138
-68.79447251,-39.02311695,1290
-68.79988309,-39.02349883,1254
-68.79976355,-39.02825802,1256
-68.80537521,-39.03286135,1250
-68.79975176,-39.03243798,1250
-68.79376861,-39.02799925,1247
-68.78797457,-39.03154806,1250
-68.78236123,-39.02789576,1250
-68.7768551,-39.02407785,1240
-68.77651031,-39.03247853,1250
-68.79957995,-39.03690736,1250
-68.78831624,-39.04152268,1250
-68.79387561,-39.04596092,1250
-68.78814344,-39.04607481,1250
-68.78213787,-39.04879778,1250
-68.85982307,-39.0202887,1200
-68.86509488,-39.02163374,1200
-68.86923513,-39.02379365,1200
-68.86931188,-39.02758163,1150
-68.87479253,-39.02961221,1125
-68.85759741,-39.02381267,1200
-68.86165867,-39.02349102,1171
-68.92765794,-39.01968107,1100
-68.9274966,-39.01370522,1140
-68.92293754,-39.01069809,1045
-68.93892604,-39.01057694,1075
-68.93612289,-39.00936723,1423
-68.93202086,-39.00975676,1300
-68.9194307,-39.00311658,1063
-68.9205578,-39.00566593,1056
-68.91722136,-39.00518145,1060
-68.91383203,-39.00466928,1090
-68.91040738,-39.00421209,1070
-68.90680666,-39.00341025,1111
-68.91827763,-39.00786853,1039
-68.93427483,-39.00754801,1140
-68.93535294,-39.00639142,1107
-68.9241058,-39.00648108,1050
-68.948631,-39.00562656,1095
-68.9456584,-39.01154038,1081
-68.95471524,-39.01039911,1065
-68.9468374,-39.01399879,1066
-68.95599822,-39.02008418,1180
-68.94746862,-38.99561835,1029
-68.95108074,-38.99814829,1003
-68.94548741,-38.99718416,1172
-68.9394772,-38.99813204,1100
-68.92858981,-39.00198328,1062
-68.92168094,-39.00106042,1052
-68.92505914,-39.00157047,1042
-68.92133947,-38.99680301,1080
-68.91256306,-38.99498152,1065
-68.90917137,-38.99450351,1045
-68.91140315,-38.99244147,1046
-68.90802543,-38.99197424,1052
-68.90286736,-38.98229416,1205
-68.27240883,-38.85218441,2783
-68.27082072,-38.85846648,2765
-68.25134406,-38.86125091,2721
-68.2618082,-38.86549233,2738
-68.265999,-38.87218802,2639
-68.25959812,-38.87099066,2633
-68.25362658,-38.86420388,2679
-68.24856408,-38.86665014,2701
-68.23990407,-38.86480098,2749
-68.24620369,-38.86232793,2704
-68.24390766,-38.86763025,2674
-68.15850993,-38.94580147,2564
-68.19250827,-38.88959916,2696
-68.18711323,-38.89460089,2697
-68.17888647,-38.91739618,2619
-68.23971186,-38.8835931,2594
-68.26380415,-38.89650836,2360
-68.25551115,-38.89191144,2564
-68.20827323,-38.89702174,2695
-68.27188587,-38.8902199,2402
-68.78595579,-39.02977327,1251
-68.42551012,-38.82834951,2719
-68.27956752,-38.89008239,2392
-68.26527647,-38.86620475,2684.14
-68.25856539,-38.86712176,2755
-68.20136222,-38.89104096,2598.34
-68.19526703,-38.88727983,2729
-68.25774349,-38.86264627,2718.9
-68.26199824,-38.12529286,2509
-68.28341192,-38.14660487,2770
-68.49358998,-38.21899298,3360
-68.24074027,-38.86821921,2673.9
-68.23648495,-38.86968975,2694.8
-68.37103351,-37.97215524,2420
-68.27132265,-38.92314548,2900
-68.26955094,-38.92395039,2291
-68.26649417,-38.85895591,2779
-68.23948898,-38.87337078,2644
-68.22602078,-38.87369794,2707
-68.96737938,-39.02405274,1087
-68.95489577,-39.01763152,1180
-68.92632591,-39.01213099,1086
-68.93083277,-39.01427386,1105
-68.93526598,-39.00184138,1100
-68.93883195,-39.00200661,1091
-68.91922466,-38.99606459,1023
-68.90669783,-38.98957071,1066
-68.89991801,-38.98850344,1055
-68.90965664,-38.98359329,1210
-68.8801074,-38.98726096,1150
-68.88644433,-38.98705396,1298
-68.87358207,-38.98694332,1603
-68.95535625,-38.99911776,1089
-68.93997334,-39.00593317,1054
-68.95037158,-39.01093545,1090
-68.95172886,-38.99158298,1301
-68.92461321,-39.02151375,1106
-68.92050778,-39.02072828,1104
-68.91618598,-39.02023153,1105
-68.91980162,-39.01723557,1107
-68.92245727,-39.01668343,1100
-68.92280601,-39.0247923,1099
-68.92178409,-39.02762076,1100
-68.90894147,-39.03164852,1100
-68.91213072,-39.02253173,1101
-68.9147807,-39.02465543,1300
-68.90823476,-39.02799966,1100
-68.91531678,-39.02753157,1047
-68.85833437,-39.02759062,1150
-68.7880807,-39.03713096,1250
-68.78210121,-39.03704368,1260
-68.77661094,-39.036871,1245
-68.78225576,-39.04149783,1250
-68.77643635,-39.04102605,1300
-68.79400246,-39.04170446,1250
-68.43222353,-38.91192877,1954
-68.42209179,-38.90678614,2003
-68.43429045,-38.90244975,3614
-68.45239956,-38.90718157,2200
-68.42505341,-37.93543281,2726
-69.73900428,-38.98602659,1331
-68.44365949,-38.81457782,2900
-68.41939519,-38.83359584,2794
-68.4152477,-38.85630865,2533
-68.38572932,-38.85416923,2602
-68.37131314,-38.86201963,2478
-68.38231559,-38.84313134,2780
-68.39578727,-38.87750162,2434
-68.39649365,-38.89665932,2150
-68.33023412,-38.91569386,2090
-68.35956394,-38.91807824,2005
-68.38657698,-38.91584812,2106
-68.39961572,-38.90947846,1950
-68.44391882,-38.89726693,2000
-68.45773873,-38.89910778,2050
-68.47373975,-38.89804889,2100
-68.45990831,-38.90895161,2096
-68.29609739,-38.92965577,2200
-68.28248525,-38.92109361,2300
-68.41168588,-38.90316937,2108
-68.49236036,-38.89799518,2301
-68.46769386,-38.8620619,2604
-68.32644195,-38.87677537,2550
-68.31634099,-38.91522349,2146
-68.830416,-39.0189369,1159
-68.84160469,-39.01059942,1182
-68.87446817,-39.02363612,1200
-68.8635368,-39.02643212,1515
-68.95323969,-39.0049397,1080
-68.94785579,-39.03360154,1121
-68.86914414,-39.01473453,1300
-68.9288781,-38.98996845,1060
-68.84477315,-39.030089,1255
-68.85178885,-39.02364481,1283
-68.77502159,-39.05014872,1253
-68.77088613,-39.03234347,1246
-68.79503067,-39.03193314,1303
-68.31318266,-38.14563504,2870
-68.30072748,-38.15491586,2880
-68.24689843,-38.90656791,3330
-68.27471867,-38.8737779,2585
-68.44324696,-38.83364124,2760
-68.23353122,-38.86898714,2708
-69.13137508,-37.42187286,2838
-69.08341496,-37.41717296,2592
-68.33273339,-38.13514658,2947
-68.28847789,-38.16107127,2871
-68.26996693,-38.08904861,3004
-68.49534156,-38.80360587,2903
-68.36049366,-38.85887448,2686
-68.32403643,-38.83096145,2832
-68.43163319,-38.87939227,2392
-68.42745264,-38.90315865,2299
-68.36036451,-38.94009475,1315
-68.35366406,-38.93983265,1134
-68.3179554,-38.93844863,1909
-68.78210527,-38.80269652,2747
-68.78506557,-38.80949514,2058
-69.00593242,-39.06406425,1645
-68.85871009,-38.82024986,1739
-68.84089917,-39.02255,1150
-69.2478398,-37.27558217,2579
-69.10670217,-37.4231016,2732
-69.10522213,-37.42279301,2815
-68.77239571,-37.45293506,2657.5
-68.48351703,-38.19315458,3500
-68.31388627,-38.79328446,3200
-68.45425818,-38.87117662,2668
-69.28392003,-37.2581615,2775
-69.39124043,-37.3030342,3502
-69.24037156,-37.28101033,2368
-69.17318353,-37.29095857,1809
-69.37962968,-37.34978928,3150
-69.02607336,-37.37230807,2643
-68.45162859,-38.85061679,2668
-69.24624883,-37.26759432,2444
-68.34888119,-38.91484483,2185
-68.36761964,-38.9164573,2055
-68.32038072,-38.92604435,2248
-68.26288362,-38.12236122,2600
-68.34217,-38.14453,545.95
-68.179289,-38.90338082,2710
-68.20732578,-38.88976903,2691
-68.21024483,-38.88038525,2696
-68.1828505,-38.90809197,2620
-68.19062767,-38.89091487,2704
-68.48692587,-38.21646457,4051
-68.52867028,-38.21287935,3554
-69.53163665,-38.89623649,1536
-69.53766155,-38.90058155,2169
-68.26443859,-38.16858379,2883
-68.25974548,-38.17053227,2837
-68.90809719,-38.99585324,1091.8
-68.92851529,-39.02296264,1085.45
-68.25143388,-38.87225232,2665
-68.20975995,-38.88367222,2708.7
-68.97914019,-39.02805268,1129.7
-68.9408981,-39.01902456,1106
-68.93306197,-39.02044192,1100
-68.93675598,-39.00310604,1101
-68.91812693,-39.00893461,1120
-68.92188355,-39.00853546,1081
-68.92301716,-39.00370364,1054
-68.9122824,-38.99480211,1106
-68.90273478,-38.99319188,1041
-68.90045037,-38.99294675,1104
-68.86792594,-39.00408278,1200
-68.86713426,-39.0066534,1200
-68.84707812,-39.00569465,1197
-68.79983622,-39.04114549,1265
-68.79402213,-39.03698302,1255
-68.79525675,-39.05256806,1250
-69.00983782,-39.10301431,1400
-68.22851772,-38.87808468,2663.8
-68.91402529,-38.98104291,1307
-68.33803706,-38.92377988,1940
-68.3462059,-38.92465733,2051
-68.46634024,-38.91200351,2100
-68.46745897,-38.91605467,2098
-68.47147244,-38.90765352,2572
-68.48796656,-38.90992326,2200
-68.47859565,-38.91253663,2100
-68.49043239,-38.91455523,2050
-68.48720387,-38.91877187,2003
-68.49489928,-38.92347529,1950
-68.47656055,-38.904984,2500
-68.47947007,-38.91690243,2219
-68.46593692,-38.92516908,2002
-68.44651098,-38.91616045,2046
-68.45208802,-38.91674171,2100
-68.45321791,-38.91202037,2100
-68.42937542,-38.90837787,1975
-68.44063772,-38.90167514,2000
-68.46493431,-38.90502377,2475
-68.50298861,-38.89965092,2212
-68.50676804,-38.92452888,2000
-68.50207,-38.92213586,2000
-69.54511412,-38.89706879,1516
-68.53677429,-38.21318377,3320
-68.52690456,-38.22223379,3330
-68.51589461,-38.22750085,3303
-68.51472519,-38.21969752,3304
-68.50839563,-38.21852914,3350
-68.48800015,-38.23079865,3380
-68.52821318,-38.22020114,3320
-68.31956827,-38.14239846,2860
-68.26139214,-38.16835565,2852
-68.26312426,-38.16599786,2908
-68.27582979,-38.14943262,2750
-68.27332209,-38.15328814,2628
-68.27332209,-38.15328814,2803
-68.49955959,-38.22127787,3350
-68.49958889,-38.2133963,3362
-68.48817524,-38.23480407,3400
-68.49932542,-38.22672518,3343
-68.34253137,-38.14784302,3098
-68.33675228,-38.15545998,3050
-68.33609254,-38.15084588,2940
-68.32390407,-38.13826918,2843
-68.31819324,-38.14481946,3050
-68.26406111,-38.12044526,2531
-68.91748903,-39.02183611,1104
-68.92281997,-39.02273763,1122
-68.33671999,-38.14926,3075
-68.33314,-38.15875999,3075
-69.74535961,-38.79541309,2422
-68.59612717,-38.78716463,2811
-68.75661083,-38.82590326,1790
-68.75068415,-38.83140393,1764
-68.75108745,-38.82822187,1779
-68.74155789,-38.83143144,1786
-68.74323064,-38.8336066,1776
-68.73703664,-38.83390034,1792
-68.73521299,-38.83682118,1782
-68.73187401,-38.83502631,1798
-68.72684217,-38.83605702,1792
-68.72133342,-38.84046396,1750
-68.70553643,-38.84377537,1773
-68.69989475,-38.84513202,1735
-68.67038432,-38.8533851,1768
-68.71795689,-38.83890977,1759
-68.76329567,-38.82815886,1826
-68.75525224,-38.82912336,1851
-68.74070879,-38.83644903,1820
-68.72267558,-38.83109865,1877
-68.72392607,-38.83823497,1822
-68.71986986,-38.84395932,1716
-68.70709884,-38.84038373,1802
-68.69123251,-38.84547963,1856
-68.66139508,-38.85074771,1811
-68.7206323,-38.83649626,1770
-68.75494896,-38.84002509,2287
-68.72156584,-38.84768981,2007
-68.61073396,-38.85304528,1955
-68.61834239,-38.85486859,1950
-68.64410363,-38.86370101,1857
-68.65476327,-38.85424157,1828
-68.71549096,-38.86056451,1577
-68.28019721,-38.15058805,2800
-68.28485396,-38.14904675,2800
-68.2887643,-38.1452793,2804
-68.28660085,-38.1410829,2803
-68.29017876,-38.13755723,2824
-68.27982673,-38.14539576,2807
-68.29350283,-38.14089436,2802
-68.29092401,-38.14277278,2750
-68.27351745,-38.15583354,2800
-68.27746637,-38.16914592,2900
-68.2610348,-38.08894333,2500
-68.35937466,-37.99853712,2400
-68.38066596,-38.11535184,3213
-68.39400903,-38.13696385,3243
-68.32495192,-38.12513514,2778
-68.32964538,-38.11988982,2730
-68.32099071,-38.12925786,2750
