OPERATOR,OP_ID
VISTA OIL & GAS ARGENTINA S.A.,17
PLUSPETROL S.A.,25
OILSTONE ENERGIA S.A.,15
YPF S.A.,2
Not reported,99
INGENIERIA SIMA S.A,11
ROVELLA ENERGIA S.A,26
CHEVRON ARGENTINA SRL,4
CAPEX S.A.,3
MEDANITO S.A,14
PAN AMERICAN ENERGY LLC SUC. ARG.,18
PAMPA ENERGIA S.A.,16
GEOPARK ARGENTINA LTD.,9
TOTAL AUSTRAL S.A.,29
COMPANIA GENERAL DE COMBUSTIBLES S.A.,5
PETROLEOS SUDAMERICANOS,19
TECPETROL S.A.,30
SAN JORGE PETROLEUM S.A.,27
ARGENTA ENERGIA S.A,1
MADALENA AUSTRAL S.A,13
KILWER S.A.,12
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,8
Shell Argentina S.A,22
APCO OIL & GAS INTERNATIONAL INC.,0
PETROLERA PIEDRA DEL AGUILA S.A.,24
PETROLERA EL TREBOL S.A.,20
PETROLERA PAMPA S.A.,23
GAS Y PETROLEO DEL NEUQUEN S.A.,10
SELVA MARIA OIL S.A.,28
EQUINOR ARGENTINA B.V.,6
WINTERSHALL ENERGIA S.A,7
CAPEX S.A,3
