WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
0,PEL.Nq.BoMo-14,BoMo-14,544.1,2805,A087,-38.14176014,-68.28363303,4,0,0,17,1,22
1,PPC.Nq.EC-2,EC-2,536.7,2607,A087,-37.87344702,-68.44036744,4,0,0,17,0,22
2,PPC.Nq.EC-4,EC-4,555.6,2585,A087,-37.95364471,-68.44760234,4,1,0,17,1,23
3,PPC.Nq.EC-7,EC-7,527.1,2451,A087,-37.88423618,-68.43573887,0,0,0,17,1,19
4,PPC.Nq.EC-10,EC-10,537.4,2648,A087,-37.96340915,-68.43183347,4,0,0,17,2,22
5,PPC.Nq.EC-11,EC-11,477.5,2225,A087,-37.89789323,-68.44689036,4,0,0,17,2,23
6,PPC.Nq.EC-22,EC-22,531,2133,A087,-37.88346001,-68.4430198,0,0,0,17,0,19
7,PPC.Nq.EC-25,EC-25,533.4,2128,A087,-37.87934942,-68.43122952,0,0,0,17,1,19
8,PPC.Nq.EL-1A,EL-1A,521.6,603,A087,-38.00731374,-68.36709395,0,0,0,17,2,8
9,PC.Nq.EL-2,EL-2,463.1,2663,A087,-38.04347746,-68.30966401,0,0,0,17,1,19
10,PNR.Nq.PL-1038,PL-1038,634.8,1650,A009,-38.80757577,-69.07497345,3,0,0,25,0,7
11,PNR.Nq.PL-1044,PL-1044,636.8,1659,A009,-38.80874414,-69.07032629,3,0,0,25,0,7
12,PNR.Nq.LNN-9,LNN-9,786.1,1614,A120,-38.87972963,-69.43715245,3,0,0,15,0,7
13,PNR.Nq.LNN-12,LNN-12,798.6,1540,A120,-38.88417723,-69.44065913,4,0,0,15,2,13
14,PNR.Nq.LNN-15,LNN-15,803.7,1503,A120,-38.88600846,-69.44243413,4,0,0,15,1,16
15,PNR.Nq.LNN-5,LNN-5,778.5,1580,A120,-38.87870373,-69.43382243,3,0,0,15,0,7
16,PNR.Nq.LNN-11,LNN-11,797.8,1510,A120,-38.88637195,-69.43283068,4,0,0,15,1,13
17,QCO.Nq.Gu-1028,Gu-1028,626.5,2855,A011,-38.86733288,-69.28273441,4,0,0,2,0,16
18,PNR.Nq.Gu-1082,Gu-1082,584.9,1600,A011,-38.86847638,-69.20979712,4,0,0,2,2,13
19,QCO.Nq.Gu-1042,Gu-1042,585.5,1592,A011,-38.87076851,-69.20564216,4,0,0,2,2,13
20,QCO.Nq.Gu-1A,Gu-1A,583.9,268,A011,-38.86455161,-69.2079698,4,0,0,2,0,7
21,YPF.Nq.NL.a-30,NL-30,775.6,1251,A120,-38.92621743,-69.42281858,3,0,0,15,0,7
22,PNR.Nq.NL-41,NL-41,739.8,1372,A120,-38.89791029,-69.39901893,1,0,0,15,1,16
23,YPF.Nq.NL-7,NL-7,703.6,1176,A120,-38.90199418,-69.34796798,3,0,0,15,0,7
24,YPF.Nq.NL-17,NL-17,759.3,1129,A120,-38.89310541,-69.34760439,3,0,0,15,0,7
25,YPF.Nq.NL-16,NL-16,766.9,1171,A120,-38.89426657,-69.34584118,1,0,0,15,0,16
26,CHA.Nq.NL-39,NL-39,730.3,1575,A120,-38.91635763,-69.39549557,1,0,0,15,1,13
27,YPF.Nq.NL-31,NL-31,748.1,1216,A120,-38.90664386,-69.40288067,4,0,0,15,2,16
28,YPF.Nq.NL-35,NL-35,738.1,1319,A120,-38.90911227,-69.39713187,3,0,0,15,0,7
29,YPF.Nq.NL-32,NL-32,729.2,1244,A120,-38.90253394,-69.37382036,1,0,0,15,2,16
30,CHA.Nq.NL-38,NL-38,727.7,2145,A120,-38.90281892,-69.36281089,4,0,0,15,1,13
31,QCO.Nq.Gu-1035,Gu-1035,587.2,1573,A011,-38.87100028,-69.2021529,4,0,0,2,2,16
32,PNR.Nq.Gu-1081,Gu-1081,589,1575,A011,-38.87302942,-69.2027098,1,0,0,2,2,13
33,YPF.Nq.E.es-14,E.es-14,834.4,721,A012,-39.0181537,-69.49651809,3,0,0,15,0,7
34,YPF.Nq.NQ-1017,NQ-1017,381.8,1235,A012,-39.08196309,-68.80447486,4,0,0,15,2,10
35,YPF.Nq.NQ-16,NQ-16,388.6,1216,A012,-39.07594298,-68.8166868,4,0,0,15,2,10
36,YPF.Nq.NQ-47,NQ-47,384.9,1193,A012,-39.08248166,-68.78914569,4,0,0,15,2,10
37,BRI.Nq.NQ-1009,NQ-1009,392.1,1267,A012,-39.07864933,-68.77206768,4,0,0,15,2,10
38,BRI.Nq.NQ-1006,NQ-1006,388,1242,A012,-39.07809374,-68.77551469,4,0,0,15,1,13
39,BRI.Nq.NQ-1011,NQ-1011,376.4,1269,A012,-39.08304308,-68.77319788,0,0,0,15,2,10
40,PNR.Nq.NQ-1040,NQ-1040,383.8,1300,A012,-39.0558996,-68.7855473,4,0,0,15,1,16
41,YPF.Nq.Me-1,Me-1,351.72,1999,A029,-39.11736686,-68.66725726,3,0,0,99,0,7
42,PNR.Nq.BBG-38,BBG-38,584.1,1750,A011,-38.84945088,-69.10629846,3,0,0,2,0,7
43,PNR.Nq.NE-32,NE-32,584.5,1100,A011,-38.83633448,-69.00339013,4,0,0,2,2,13
44,CHA.Nq.PL-1027,PL-1027,592.4,1352,A011,-38.81829777,-69.05327036,4,0,0,2,1,13
45,CHA.Nq.PL-1014,PL-1014,599.3,1460,A011,-38.81314821,-69.06402794,4,0,0,2,2,13
46,CHA.Nq.PL-1013,PL-1013,602.3,1371,A011,-38.81353155,-69.06115171,4,0,0,2,2,13
47,PNR.Nq.PL-1046,PL-1046,594.1,1418,A011,-38.81103941,-69.06197143,4,0,0,2,1,13
48,PNR.Nq.BEE.dr-13,BEE.dr-13,592.9,942,A070,-39.11762409,-69.10800808,7,0,0,15,1,13
49,PNR.Nq.BEE-12,BEE-12,636.4,1630,A070,-39.15798747,-69.09994933,4,0,0,15,2,13
50,PNR.Nq.H-129,H-129,638.7,1150,A068,-38.91179055,-69.26771567,4,0,0,2,1,13
51,SOA.Nq.H-91,H-91,632,980,A068,-38.91401411,-69.26076822,3,0,0,2,0,7
52,SOA.Nq.H-66,H-66,638.8,775,A068,-38.91506572,-69.25880863,3,0,0,2,0,7
53,SOA.Nq.H-64,H-64,642.1,797,A068,-38.91530332,-69.25595783,3,0,0,2,0,7
54,SOA.Nq.H-79,H-79,633.7,740,A068,-38.91625186,-69.26191397,3,0,0,2,0,7
55,SOA.Nq.H-81,H-81,628.2,725,A068,-38.91639138,-69.26482853,3,0,0,2,0,7
56,CHA.Nq.H-112,H-112,631.4,1150,A068,-38.91743255,-69.26737248,4,0,0,2,0,16
57,SOA.Nq.H-98,H-98,636.5,975,A068,-38.9164919,-69.27402295,3,0,0,2,0,7
58,SOA.Nq.H-61,H-61,625.5,756,A068,-38.8970465,-69.24899357,4,0,0,2,0,16
59,SOA.Nq.H-60,H-60,633.3,762,A068,-38.8982701,-69.25151422,4,0,0,2,0,16
60,SOA.Nq.H-59,H-59,638.8,770,A068,-38.90018455,-69.25448013,4,0,0,2,0,16
61,SOA.Nq.H-86,H-86,632.6,777,A068,-38.90007334,-69.25118273,4,0,0,2,0,16
62,SOA.Nq.H-100,H-100,626.7,800,A068,-38.89932989,-69.2497588,3,0,0,2,0,7
63,PNR.Nq.H-148,H-148,621,950,A068,-38.89846157,-69.24711122,4,0,0,2,1,16
64,PNR.Nq.H-146,H-146,621.5,1105,A068,-38.90063852,-69.24655955,4,0,0,2,1,16
65,AST.Nq.AH-1005,AH-1005,632.8,867,A068,-38.90245696,-69.24967507,4,0,0,2,1,13
66,SOA.Nq.H-44,H-44,634.2,765,A068,-38.912548,-69.23028844,4,0,0,2,0,16
67,SOA.Nq.H-45,H-45,633.3,764,A068,-38.91298001,-69.23449987,4,0,0,2,0,16
68,YPF.Nq.Dro-1,Dro-1,507.3,999999,A024,-38.90097718,-68.87295415,4,0,0,15,2,7
69,YPF.Nq.G-8,G-8,522.61,796.5,A024,-38.8959716,-68.87137153,1,0,0,15,0,7
70,YPF.Nq.G-10,G-10,611.59,564,A024,-38.88570684,-68.9049926,1,0,0,15,0,7
71,YPF.Nq.G-4,G-4,605.97,319,A024,-38.89821613,-68.9242971,3,0,0,15,0,7
72,YPF.Nq.G-30,G-30,536.2,255,A024,-38.88822407,-68.95443266,1,0,0,15,0,7
73,YPF.Nq.G-11,G-11,549.4,461,A024,-38.88935492,-68.96231488,1,0,0,15,0,7
74,YPF.Nq.G-32,G-32,571.9,264,A024,-38.89377186,-68.94177121,1,0,0,15,0,7
75,SOA.Nq.NG-2,NG-2,546.9,254,A024,-38.88535778,-68.97211941,1,0,0,15,2,7
76,YPF.Nq.G-9,G-9,637.63,320,A024,-38.88963162,-68.98952964,1,0,0,15,0,7
77,YPF.Nq.AC-18,AC-18,821.1,1288,A020,-38.98034023,-69.67098633,4,0,0,15,2,22
78,YPF.Nq.AC-21,AC-21,823.9,1273,A020,-38.98312433,-69.66803857,4,0,0,15,2,13
79,YPF.Nq.AC-27,AC-27,822.7,1257,A020,-38.98090852,-69.67554784,4,0,0,15,0,13
80,YPF.Nq.AC-30,AC-30,826.2,1272,A020,-38.98649392,-69.66970567,4,0,0,15,1,13
81,YPF.Nq.AC-40,AC-40,828.4,1260,A020,-38.98592628,-69.66516424,4,0,0,15,2,13
82,YPF.Nq.AC-17,AC-17,832.9,1335,A020,-38.98461748,-69.67786725,4,0,0,15,2,13
83,YPF.Nq.AC-36,AC-36,841.6,1285,A020,-38.98819597,-69.68338288,4,0,0,15,2,13
84,YPF.Nq.AC-45,AC-45,873.7,1314,A020,-38.99445758,-69.70781622,4,0,0,15,2,13
85,YPF.Nq.AC-6,AC-6,871.8,1384,A020,-38.99414818,-69.71508543,4,0,0,15,2,13
86,YPF.Nq.AC-3,AC-3,850.6,1378,A020,-38.98705609,-69.71035162,3,0,0,15,0,7
87,PLU.Nq.AC-1004,AC-1004,860,1359,A020,-38.98268006,-69.71466129,4,0,0,15,2,13
88,YPF.Nq.AC-43,AC-43,848.8,1286,A020,-38.98552775,-69.71201911,4,0,0,15,1,13
89,YPF.Nq.AC-67,AC-67,839.6,1305,A020,-38.98080747,-69.7174366,4,0,0,15,0,13
90,AEC.Nq.AC-2003,AC-2003,869.7,3325,A020,-38.99135363,-69.73253891,1,0,0,15,1,13
91,YPF.Nq.AC-33,AC-33,835.4,1277,A020,-38.97983304,-69.69214475,4,0,0,15,2,13
92,YPF.Nq.AC-66,AC-66,846.5,1489,A020,-38.98271199,-69.76290411,1,0,0,15,0,13
93,PLU.Nq.AC-1008,AC-1008,856.3,1410,A020,-39.00002128,-69.70032081,4,0,0,15,2,7
94,YPF.Nq.AC-65,AC-65,866.1,1384,A020,-38.99602512,-69.69560294,3,0,0,15,0,7
95,YPF.Nq.AC-55,AC-55,849.9,1277,A020,-38.99168862,-69.68521827,4,0,0,15,2,13
96,YPF.Nq.AC-69,AC-69,853.4,1302,A020,-38.99002374,-69.69700604,1,0,0,15,2,13
97,YPF.Nq.AC-42,AC-42,831.7,1284,A020,-38.9898507,-69.67135143,4,0,0,15,2,13
98,YPF.Nq.AC-8,AC-8,839.1,1377,A020,-38.98345947,-69.69125508,4,0,0,15,2,7
99,YPF.Nq.AC-62,AC-62,840.1,1302,A020,-38.98038159,-69.71023861,4,0,0,15,2,13
100,YPF.Nq.AC-64,AC-64,848.3,1348,A020,-38.98364919,-69.73324272,4,0,0,15,2,13
101,YPF.Nq.AC-5,AC-5,855.9,1320,A020,-38.98706791,-69.72021698,4,0,0,15,2,13
102,YPF.Nq.CL-16,CL-16,610,1857,A143,-39.28955621,-69.72122345,4,0,0,11,1,18
103,YPF.Nq.CL-29,CL-29,650.1,1326,A012,-39.24188011,-69.61887134,3,0,0,15,0,7
104,YPF.Nq.CL-21,CL-21,642.7,1283,A012,-39.24368466,-69.61405448,4,0,0,15,2,18
105,YPF.Nq.CL-28,CL-28,642.2,1304,A012,-39.24182016,-69.60943989,4,0,0,15,2,13
106,YPF.Nq.CL-30,CL-30,640.8,1349,A012,-39.24508846,-69.62256728,3,0,0,15,0,7
107,YPF.Nq.CL-10,CL-10,641,1295,A012,-39.24382613,-69.60479771,4,0,0,15,2,18
108,YPF.Nq.CL-7,CL-7,642.3,1303,A012,-39.24387179,-69.60061086,4,0,0,15,2,18
109,YPF.Nq.CL-9,CL-9,641.2,1330,A012,-39.24073354,-69.59838762,0,0,0,15,2,18
110,YPF.Nq.CL-6,CL-6,653.6,1301,A012,-39.24071025,-69.59375264,4,0,0,15,2,18
111,YPF.Nq.CL-2,CL-2,633.8,1302,A012,-39.24387983,-69.59599609,0,0,0,15,2,18
112,YPF.Nq.CL-8,CL-8,637.9,1324,A012,-39.24446735,-69.59140634,4,0,0,15,2,18
113,YPF.Nq.CL-12,CL-12,639.4,1337,A012,-39.24701112,-69.59346316,3,0,0,15,0,7
